Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name
2024-04-25 00:00:00-04:00,91.4905583783259,92.29043069852523,90.70020315839415,92.0142822265625,13250100,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-26 00:00:00-04:00,91.18583492239479,91.52863938663006,90.23360191395489,91.16678619384766,16183300,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-29 00:00:00-04:00,90.90016668044248,91.98571178340175,90.84303502185358,91.7857437133789,11118200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-04-30 00:00:00-04:00,91.4143904319949,91.57626833812711,89.01476587973877,89.05284881591797,17699500,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-01 00:00:00-04:00,88.92904790156243,89.21472073521427,87.15789376882962,87.6340103149414,25471900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-02 00:00:00-04:00,88.22439952127847,88.7386062749614,87.719717132931,88.1386947631836,17308400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-03 00:00:00-04:00,88.21488754313151,88.31010941497084,86.98650578100363,88.14823150634766,19043900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-06 00:00:00-04:00,88.4243607792112,89.73843976056486,88.4243607792112,88.84334564208984,16722800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-07 00:00:00-04:00,88.96713709364067,89.414687804332,88.72907882326969,88.75764465332031,10471100,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-08 00:00:00-04:00,88.24344016971378,89.08140995238227,88.11012811610053,88.65290069580078,9905900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-09 00:00:00-04:00,88.74812351765331,89.84319305419922,88.74812351765331,89.84319305419922,11244700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-10 00:00:00-04:00,90.03363905843467,90.32882898332709,89.10997182446093,89.34803009033203,10284200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-13 00:00:00-04:00,89.55752078630766,89.89080089905818,88.72907542178932,89.10997009277344,10489000,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-14 00:00:00-04:00,88.93857757831192,89.29089919390054,88.57672433208053,89.2242431640625,12455800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-15 00:00:00-04:00,89.03379815146221,89.5860951135328,87.71971904012116,89.4242172241211,19396100,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-16 00:00:00-04:00,89.22423540713136,89.87175418281967,88.93856984621583,89.17662811279297,12290100,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-05-17 00:00:00-04:00,89.33850428378439,90.56688578765134,89.30993845473473,90.4240493774414,14500800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
